measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,New Mexico,Both,All ages,Alcoholic cardiomyopathy,Number,1990,28.7920113490706,34.76005796865052,22.56277661716913
Deaths,Kentucky,Both,All ages,Liver cancer due to alcohol use,Number,1990,24.594474497486186,28.16523311800526,21.079506109117272
Deaths,Washington,Both,All ages,Cirrhosis and other chronic liver diseases due to alcohol use,Number,1990,176.87708206796975,203.74593751313412,151.69286230113667
Deaths,Kansas,Both,All ages,Cirrhosis and other chronic liver diseases due to alcohol use,Number,1990,78.24415654194779,90.59526985502112,66.38942933719908
Deaths,Alabama,Both,All ages,Liver cancer due to alcohol use,Number,1990,25.252727866398565,28.97389502508261,21.57369649247862
Deaths,Kansas,Both,All ages,Liver cancer due to alcohol use,Number,1990,14.768866304916306,16.95213185714272,12.724366225861269
Deaths,Kansas,Both,All ages,Alcohol use disorders,Number,1990,54.832501605139925,59.382762493288205,50.62808011555074
Deaths,New York,Both,All ages,Cirrhosis and other chronic liver diseases due to alcohol use,Number,1990,886.4829516869064,1016.0346240387856,761.4818247635144
Deaths,New York,Both,All ages,Liver cancer due to alcohol use,Number,1990,162.92786908234373,182.94744198139352,141.85345800933467
Deaths,Alabama,Both,All ages,Alcohol use disorders,Number,1990,107.99039649568962,116.04084628089598,100.68566210514514
Deaths,Kentucky,Both,All ages,Alcoholic cardiomyopathy,Number,1990,80.28163203821703,95.07339405118523,62.607630541940374
Deaths,New York,Both,All ages,Alcohol use disorders,Number,1990,569.0762868848144,599.7796408086765,540.7603787955519
Deaths,Kansas,Both,All ages,Alcoholic cardiomyopathy,Number,1990,53.46229000907692,64.06727688384758,38.71358504330091
Deaths,Hawaii,Both,All ages,Cirrhosis and other chronic liver diseases due to alcohol use,Number,1992,36.36073831875582,41.48685521521466,31.42950539498395
Deaths,Alabama,Both,All ages,Cirrhosis and other chronic liver diseases due to alcohol use,Number,1990,180.28352640790763,209.12176455363246,155.3037245507364
Deaths,Kentucky,Both,All ages,Cirrhosis and other chronic liver diseases due to alcohol use,Number,1990,143.2685919574549,165.93128718297564,123.23360783072212
Deaths,Louisiana,Both,All ages,Alcohol use disorders,Number,1990,86.95358776779202,93.27659283747474,80.81192631093685
